"command_id","tag_name"
"nmap-ping-sweep","DISCOVERY"
"nmap-ping-sweep","ENUM"
"nmap-ping-sweep","ENUMERATION"
"nmap-ping-sweep","NETWORK"
"nmap-ping-sweep","NMAP"
"nmap-ping-sweep","NOISY"
"nmap-ping-sweep","OSCP:HIGH"
"nmap-ping-sweep","QUICK_WIN"
"nmap-ping-sweep","RECONNAISSANCE"
"nmap-ping-sweep","STARTER"
"nmap-quick-scan","ENUM"
"nmap-quick-scan","ENUMERATION"
"nmap-quick-scan","FAST"
"nmap-quick-scan","NETWORK"
"nmap-quick-scan","NMAP"
"nmap-quick-scan","NOISY"
"nmap-quick-scan","OSCP:HIGH"
"nmap-quick-scan","RECONNAISSANCE"
"nmap-quick-scan","STARTER"
"nmap-service-scan","DETAILED"
"nmap-service-scan","DISCOVERY"
"nmap-service-scan","ENUM"
"nmap-service-scan","ENUMERATION"
"nmap-service-scan","NMAP"
"nmap-service-scan","NOISY"
"nmap-service-scan","OSCP:HIGH"
"nmap-service-scan","PERSISTENCE"
"nmap-service-scan","RECONNAISSANCE"
"nmap-service-scan","STARTER"
"nmap-vuln-scan","AUTOMATED"
"nmap-vuln-scan","ENUM"
"nmap-vuln-scan","ENUMERATION"
"nmap-vuln-scan","NMAP"
"nmap-vuln-scan","NOISY"
"nmap-vuln-scan","RECONNAISSANCE"
"nmap-vuln-scan","VULN"
"dns-enum","DISCOVERY"
"dns-enum","DNS"
"dns-enum","ENUM"
"dns-enum","ENUMERATION"
"dns-enum","OSCP:MEDIUM"
"dns-enum","RECONNAISSANCE"
"smb-enum","DISCOVERY"
"smb-enum","ENUM"
"smb-enum","ENUM4LINUX"
"smb-enum","ENUMERATION"
"smb-enum","NOISY"
"smb-enum","OSCP:HIGH"
"smb-enum","QUICK_WIN"
"smb-enum","RECONNAISSANCE"
"smb-enum","SAMBA"
"smb-enum","SMB"
"smb-enum","STARTER"
"snmp-enum","DISCOVERY"
"snmp-enum","ENUM"
"snmp-enum","ENUMERATION"
"snmp-enum","OSCP:MEDIUM"
"snmp-enum","RECONNAISSANCE"
"snmp-enum","SNMP"
"smb-null-session-shares","CREDENTIAL_ACCESS"
"smb-null-session-shares","DISCOVERY"
"smb-null-session-shares","ENUM"
"smb-null-session-shares","ENUMERATION"
"smb-null-session-shares","NULL_SESSION"
"smb-null-session-shares","OSCP:HIGH"
"smb-null-session-shares","QUICK_WIN"
"smb-null-session-shares","RECONNAISSANCE"
"smb-null-session-shares","SAMBA"
"smb-null-session-shares","SMB"
"smb-null-session-shares","SMBCLIENT"
"smb-enum4linux-full","COMPREHENSIVE"
"smb-enum4linux-full","CREDENTIAL_ACCESS"
"smb-enum4linux-full","DISCOVERY"
"smb-enum4linux-full","ENUM"
"smb-enum4linux-full","ENUM4LINUX"
"smb-enum4linux-full","ENUMERATION"
"smb-enum4linux-full","NOISY"
"smb-enum4linux-full","OSCP:HIGH"
"smb-enum4linux-full","RECONNAISSANCE"
"smb-enum4linux-full","SAMBA"
"smb-enum4linux-full","SMB"
"smb-crackmapexec-shares","AUTHENTICATED"
"smb-crackmapexec-shares","CRACKMAPEXEC"
"smb-crackmapexec-shares","CREDENTIAL_ACCESS"
"smb-crackmapexec-shares","DISCOVERY"
"smb-crackmapexec-shares","ENUM"
"smb-crackmapexec-shares","ENUMERATION"
"smb-crackmapexec-shares","OSCP:HIGH"
"smb-crackmapexec-shares","QUICK_WIN"
"smb-crackmapexec-shares","RECONNAISSANCE"
"smb-crackmapexec-shares","SAMBA"
"smb-crackmapexec-shares","SMB"
"smb-smbclient-connect","ENUMERATION"
"smb-smbclient-connect","FILE_TRANSFER"
"smb-smbclient-connect","INTERACTIVE"
"smb-smbclient-connect","OSCP:HIGH"
"smb-smbclient-connect","RECONNAISSANCE"
