"command_id","flag_id","position"
"nmap-ping-sweep","befa501143bc8fe4","0"
"nmap-quick-scan","474da063f5e05eb5","0"
"nmap-quick-scan","0ebdccd74cbcc038","1"
"nmap-quick-scan","79124c78bc28defb","2"
"nmap-quick-scan","5aa8c52a9ba4e6ab","3"
"nmap-service-scan","151b3b769efc153b","0"
"nmap-service-scan","a57be0e1c4f44bc3","1"
"nmap-service-scan","b9f9d7c3bf760652","2"
"nmap-service-scan","5aa8c52a9ba4e6ab","3"
"nmap-vuln-scan","bed5eb1c298f9620","0"
"nmap-vuln-scan","b9f9d7c3bf760652","1"
"dns-enum","896193ea692d3726","0"
"dns-enum","30bd005d98b9ca02","1"
"smb-enum","5760c2d08a6e0538","0"
"snmp-enum","38aa04fbbf839040","0"
"snmp-enum","7c963785b2d4e11f","1"
"smb-null-session-shares","dca32a170aeabfa7","0"
"smb-null-session-shares","79ce0d6465b975a0","1"
"smb-enum4linux-full","5760c2d08a6e0538","0"
"smb-crackmapexec-shares","137d7625d8416096","0"
"smb-crackmapexec-shares","4731e1e76889413b","1"
"smb-crackmapexec-shares","b9f9d7c3bf760652","2"
"smb-crackmapexec-shares","77f4e7bc553944ae","3"
"smb-smbclient-connect","fba5ab09ed4d3cf9","0"
"smb-smbclient-connect","90e71d16ba0e980b","1"
"smb-smbmap-recursive","7ef56b707cd6ffa9","0"
"smb-smbmap-recursive","4731e1e76889413b","1"
"smb-smbmap-recursive","b9f9d7c3bf760652","2"
"smb-smbmap-recursive","5375831b6f014d1a","3"
"smb-mount-share","b6c745935fc3bf99","0"
"smb-mount-share","4872a28228f69e21","1"
"smb-mount-share","e70f248960b43e8d","2"
"smb-mount-share","1775f7ce8535008b","3"
"smb-mount-share","297216cf208eb0f3","4"
"curl-header-enum","6e9aeb4b8658eed1","0"
"curl-header-enum","878e0830fa31f67d","1"
"whatweb-technology-detection","f2ca75f80e334bc8","0"
"whatweb-technology-detection","5760c2d08a6e0538","1"
"whatweb-technology-detection","7764865c46bfce2c","2"
"vhost-fuzzing-gobuster","10f44287b2234c9f","0"
"vhost-fuzzing-gobuster","4731e1e76889413b","1"
"vhost-fuzzing-gobuster","cf07cf4d6d4ae2a4","2"
"vhost-fuzzing-gobuster","30bd005d98b9ca02","3"
"vhost-fuzzing-gobuster","8b635b199552ec0c","4"
"dns-zone-transfer-dig","2a155ab6d7c875b5","0"
"dns-zone-transfer-dig","b8c65e7f5c14876c","1"
"iptables-list-rules","79ce0d6465b975a0","0"
"iptables-list-rules","f2ca75f80e334bc8","1"
"iptables-list-rules","1a68156bac40ee7f","2"
"iptables-allow-port","4ef9b67f95ee61dd","0"
"iptables-allow-port","b9f9d7c3bf760652","1"
"iptables-allow-port","4e3a67856f326897","2"
"iptables-allow-port","83ad549e38367656","3"
"iptables-port-forward","b0b5fed2387c3acc","0"
"iptables-port-forward","6471462feda2eeea","1"
"iptables-port-forward","b9f9d7c3bf760652","2"
"iptables-port-forward","4e3a67856f326897","3"
"iptables-port-forward","ec91be71a55ec7cf","4"
"iptables-port-forward","cb8c5c355f6b5679","5"
"iptables-delete-rule","e0b5d06a9d946b75","0"
"iptables-delete-rule","bf19c0030490d02e","1"
"iptables-delete-rule","a9549df5148ba972","2"
"iptables-flush-all","b18f915ceb49196f","0"
"ufw-status","35b1fa3e835baade","0"
"ufw-status","52d2a0b4fdd33da2","1"
"ufw-allow-port","fe8af8a9c45867a4","0"
"ufw-allow-port","e0fc79c38c9dd6ec","1"
"ufw-disable","cdca8982389d0603","0"
"firewalld-list-all","088002f582a66846","0"
"firewalld-add-port","47ee42376456e898","0"
"firewalld-add-port","c90f9b5cc8df922d","1"
"firewalld-add-port","0a31f4e08fee2487","2"
"firewalld-port-forward","1740d876446ffba3","0"
"firewalld-port-forward","ebfd7cbfa937a32a","1"
"firewalld-port-forward","40d77adaad97a04f","2"
"firewalld-port-forward","f3bd2db86b42388a","3"
"firewalld-port-forward","0a31f4e08fee2487","4"
"netsh-firewall-show","fed633826f247de2","0"
"netsh-firewall-show","ddd1a0b5b3353e8b","1"
"netsh-firewall-show","c64613f904daa6ec","2"
"netsh-firewall-show-state","7f63ffe1a0f9e79d","0"
"netsh-firewall-show-state","9a61d1dd5bb4898c","1"
"netsh-firewall-add-rule","fd4f85607fb7b9ae","0"
"netsh-firewall-add-rule","855fe6a076ea1e2a","1"
"netsh-firewall-add-rule","c22c6d390bfec8eb","2"
"netsh-firewall-add-rule","c8108ae16901adfa","3"
"netsh-firewall-add-rule","9e2a1eac710a4f12","4"
"netsh-firewall-add-rule","314502e6704de6c3","5"
"netsh-firewall-port-forward","855fe6a076ea1e2a","0"
"netsh-firewall-port-forward","c22c6d390bfec8eb","1"
"netsh-firewall-port-forward","c8108ae16901adfa","2"
"netsh-firewall-port-forward","98fc4320b40e2438","3"
"netsh-firewall-port-forward","9e2a1eac710a4f12","4"
"netsh-firewall-port-forward","314502e6704de6c3","5"
"netsh-portproxy-add","73e11c320876d83e","0"
"netsh-portproxy-add","724d0def0751e79e","1"
"netsh-portproxy-add","537c730abe91ae98","2"
"netsh-portproxy-add","9e7093dc35717dbc","3"
"netsh-portproxy-add","5be61dc02d3f6f62","4"
"netsh-portproxy-add","2fef52470a4b7f95","5"
"netsh-portproxy-show","73e11c320876d83e","0"
"netsh-portproxy-show","c8957ab29818f8c7","1"
"netsh-firewall-disable","19c3f0e7e9d12fd2","0"
"netsh-firewall-disable","60141bbd11e388b6","1"
"netsh-firewall-delete-rule","f86684beb4c1c291","0"
"netsh-firewall-delete-rule","855fe6a076ea1e2a","1"
"netstat-routing-table","fe5dc4426b6383c4","0"
"netstat-routing-table","1a68156bac40ee7f","1"
"wmic-os-version-specific","41a0e4dc513b0f5c","0"
"wmic-os-version-specific","50e28aae1bc2a574","1"
"whoami-all-windows","96feebe5f9775295","0"
"test-netconnection-ssh-port","e52eeedb9d1ab7cb","0"
"systemctl-start-ssh","b6c745935fc3bf99","0"
"systemctl-start-ssh","35bbf58fe1416adb","1"
"systemctl-start-ssh","82e3126fb8d5907e","2"
"systemctl-start-ssh","f98e316faa556f7e","3"
"apache2-start","b6c745935fc3bf99","0"
"apache2-start","35bbf58fe1416adb","1"
"apache2-start","82e3126fb8d5907e","2"
"apache2-start","396def93f903a04e","3"
"ss-listening-ports","1a68156bac40ee7f","0"
"ss-listening-ports","30bd005d98b9ca02","1"
"ss-listening-ports","b9f9d7c3bf760652","2"
"ss-listening-ports","851143307ac3c2f6","3"
"ss-listening-ports","4731e1e76889413b","4"
"ip-addr","48304d63a53df439","0"
"ip-addr","0ca9c44e2fc10ad9","1"
"ip-route","48304d63a53df439","0"
"ip-route","5f8ca7a5c60376d9","1"
"nmap-port-check","b6c745935fc3bf99","0"
"nmap-port-check","b9f9d7c3bf760652","1"
"nmap-port-check","474da063f5e05eb5","2"
"nmap-port-check","f2ca75f80e334bc8","3"
"psql-connect","0e9671ac0ce24e43","0"
"psql-connect","b9f9d7c3bf760652","1"
"psql-connect","90e71d16ba0e980b","2"
"psql-connect","896193ea692d3726","3"
"psql-connect","9b464139eda3b7cf","4"
"psql-connect","38aa04fbbf839040","5"
"smbclient-list-shares","dca32a170aeabfa7","0"
"smbclient-list-shares","79ce0d6465b975a0","1"
"smbclient-list-shares","fba5ab09ed4d3cf9","2"
"netsh-portproxy-delete","83d5752fc043024e","0"
"whoami-priv","6a8c2973d705862a","0"
"whoami-priv","96feebe5f9775295","1"
"ipconfig-all","96feebe5f9775295","0"
"netstat-windows","5760c2d08a6e0538","0"
"netstat-windows","1a68156bac40ee7f","1"
"netstat-windows","e70f248960b43e8d","2"
"netstat-windows","b44b0fc13a5ec187","3"
"ssh-local-port-forward","dca32a170aeabfa7","0"
"ssh-local-port-forward","79ce0d6465b975a0","1"
"ssh-local-port-forward","f2ca75f80e334bc8","2"
"ssh-local-port-forward","4a961227807cbfb2","3"
"ssh-dynamic-port-forward","dca32a170aeabfa7","0"
"ssh-dynamic-port-forward","e0b5d06a9d946b75","1"
"ssh-dynamic-port-forward","f2ca75f80e334bc8","2"
"ssh-dynamic-port-forward","4a961227807cbfb2","3"
"ssh-remote-port-forward","dca32a170aeabfa7","0"
"ssh-remote-port-forward","5375831b6f014d1a","1"
"ssh-remote-port-forward","f2ca75f80e334bc8","2"
"ssh-remote-port-forward","f8371e56d14d1dee","3"
"ssh-remote-dynamic-port-forward","dca32a170aeabfa7","0"
"ssh-remote-dynamic-port-forward","638fe655d519c816","1"
"ssh-remote-dynamic-port-forward","f2ca75f80e334bc8","2"
"socat-port-forward","8d13070304efbf59","0"
"socat-port-forward","7ce2098c6b472bc7","1"
"socat-port-forward","1f75ec524e000eb3","2"
"socat-port-forward","6025cdb74071df8c","3"
"plink-remote-forward","d5e6868591eae38b","0"
"plink-remote-forward","851143307ac3c2f6","1"
"plink-remote-forward","ba8828cc65c06dc5","2"
"plink-remote-forward","5375831b6f014d1a","3"
"plink-remote-forward","6dff6bf21f658b45","4"
"plink-remote-forward","dca32a170aeabfa7","5"
"xfreerdp-connect","4adfe26108c54237","0"
"xfreerdp-connect","0c0882304d53a4df","1"
"xfreerdp-connect","a21bb632463f341f","2"
"xfreerdp-connect","2e6de79f079755f3","3"
"xfreerdp-connect","a73d8170a2b24a58","4"
"xfreerdp-connect","f959ba32f91f77dc","5"
"xfreerdp-connect","5c2a1c794b2110bf","6"
"xfreerdp-connect","3bb62d830c3787c5","7"
"ssh-version","864d362776748c8c","0"
"ssh-debug-verbose","f2ca75f80e334bc8","0"
"ssh-debug-verbose","83c7ff1fa52ef5f5","1"
"ssh-debug-verbose","eed7c13b5844af19","2"
"sshuttle-vpn","fe5dc4426b6383c4","0"
"sshuttle-vpn","ec56d3c1a33e2451","1"
"sshuttle-vpn","f9a7a7e1291a282a","2"
"sshuttle-vpn","83c7ff1fa52ef5f5","3"
"sshuttle-vpn","b54f4379caa16582","4"
"ssh-key-authentication","e875589e3fe1a79c","0"
"ssh-key-authentication","6dff6bf21f658b45","1"
"ssh-key-format","b9f9d7c3bf760652","0"
"ssh-key-format","cbb78e82f03ea179","1"
"ssh-key-format","4a961227807cbfb2","2"
"proxychains-nmap","eee07e1b03c6ff0d","0"
"proxychains-nmap","45f2a22a49bffc80","1"
"proxychains-nmap","474da063f5e05eb5","2"
"proxychains-nmap","9e474edd9ad2a1d6","3"
"proxychains-nmap","f2ca75f80e334bc8","4"
"proxychains-nmap","1a68156bac40ee7f","5"
"proxychains-nmap","b9f9d7c3bf760652","6"
"proxychains-psql","eee07e1b03c6ff0d","0"
"proxychains-psql","0e9671ac0ce24e43","1"
"proxychains-psql","b9f9d7c3bf760652","2"
"proxychains-psql","90e71d16ba0e980b","3"
"proxychains-psql","896193ea692d3726","4"
"rustscan-fast-scan","5760c2d08a6e0538","0"
"rustscan-fast-scan","e2b6c72e2c920535","1"
"rustscan-fast-scan","151b3b769efc153b","2"
"rustscan-fast-scan","a57be0e1c4f44bc3","3"
"masscan-fast-scan","b9f9d7c3bf760652","0"
"masscan-fast-scan","a5d2c1ba435ba518","1"
"autorecon-full","e70f248960b43e8d","0"
"autorecon-full","f2ca75f80e334bc8","1"
"enum4linux-smb","5760c2d08a6e0538","0"
"enum4linux-smb","90e71d16ba0e980b","1"
"enum4linux-smb","42a0b2b231b62427","2"
"enum4linux-smb","7fa45237ceab9a14","3"
"enum4linux-ng","a049d5547a376b6f","0"
"enum4linux-ng","75448214e7b17584","1"
"enum4linux-ng","90e71d16ba0e980b","2"
"enum4linux-ng","42a0b2b231b62427","3"
"whatweb-scan","f2ca75f80e334bc8","0"
"whatweb-scan","5760c2d08a6e0538","1"
"ldapsearch-basic","f9a7a7e1291a282a","0"
"ldapsearch-basic","7ef56b707cd6ffa9","1"
"ldapsearch-basic","b44b0fc13a5ec187","2"
"ldapsearch-dump","e0b5d06a9d946b75","0"
"ldapsearch-dump","cf07cf4d6d4ae2a4","1"
"ldapsearch-dump","508ac7f2fb64938e","2"
"dig-zone-transfer","2a155ab6d7c875b5","0"
"dig-zone-transfer","b8c65e7f5c14876c","1"
"dnsrecon-domain","896193ea692d3726","0"
"dnsrecon-domain","30bd005d98b9ca02","1"
"suid-find","8967dc69384d7c65","0"
"suid-find","f587709c187ccc3a","1"
"suid-find","8c134112fe76eddd","2"
