"cheatsheet_id","command_id","context","scenario_title","section_title"
"file-transfer-cheatsheet","ft-python-http-server","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools",""
"file-transfer-cheatsheet","ft-certutil-download","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools",""
"file-transfer-cheatsheet","ft-powershell-iwr","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools",""
"file-transfer-cheatsheet","ft-powershell-webclient","scenario","Scenario 1: Initial Windows Shell - Upload Enumeration Tools",""
"file-transfer-cheatsheet","ft-scp-upload","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary",""
"file-transfer-cheatsheet","ft-python-http-server","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary",""
"file-transfer-cheatsheet","ft-wget-download","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary",""
"file-transfer-cheatsheet","ft-curl-download","scenario","Scenario 2: Linux SSH Access - Transfer Exploit Binary",""
"file-transfer-cheatsheet","ft-smb-server","scenario","Scenario 3: Windows Target - HTTP Blocked, Use SMB",""
"file-transfer-cheatsheet","ft-smb-download","scenario","Scenario 3: Windows Target - HTTP Blocked, Use SMB",""
"file-transfer-cheatsheet","ft-uploadserver","scenario","Scenario 4: Exfiltrate Proof.txt from Windows",""
"file-transfer-cheatsheet","ft-powershell-upload","scenario","Scenario 4: Exfiltrate Proof.txt from Windows",""
"file-transfer-cheatsheet","ft-smb-server","scenario","Scenario 4: Exfiltrate Proof.txt from Windows",""
"file-transfer-cheatsheet","ft-smb-upload","scenario","Scenario 4: Exfiltrate Proof.txt from Windows",""
"file-transfer-cheatsheet","ft-nc-receive","scenario","Scenario 4: Exfiltrate Proof.txt from Windows",""
"file-transfer-cheatsheet","ft-powershell-tcp-send","scenario","Scenario 4: Exfiltrate Proof.txt from Windows",""
"file-transfer-cheatsheet","ft-uploadserver","scenario","Scenario 5: Exfiltrate Database from Linux",""
"file-transfer-cheatsheet","ft-curl-upload","scenario","Scenario 5: Exfiltrate Database from Linux",""
"file-transfer-cheatsheet","ft-nc-receive","scenario","Scenario 5: Exfiltrate Database from Linux",""
"file-transfer-cheatsheet","ft-nc-send","scenario","Scenario 5: Exfiltrate Database from Linux",""
"file-transfer-cheatsheet","ft-python-http-server","scenario","Scenario 6: Restricted Shell - No wget/curl Available",""
"file-transfer-cheatsheet","ft-nc-receive","scenario","Scenario 6: Restricted Shell - No wget/curl Available",""
"file-transfer-cheatsheet","ft-bash-dev-tcp","scenario","Scenario 6: Restricted Shell - No wget/curl Available",""
"file-transfer-cheatsheet","ft-base64-encode","scenario","Scenario 7: Copy/Paste Exfiltration - No Network Transfer",""
"file-transfer-cheatsheet","ft-python-http-server","section","","Phase 1: Setup Attack Machine Servers"
"file-transfer-cheatsheet","ft-smb-server","section","","Phase 1: Setup Attack Machine Servers"
"file-transfer-cheatsheet","ft-uploadserver","section","","Phase 1: Setup Attack Machine Servers"
"file-transfer-cheatsheet","ft-certutil-download","section","","Phase 2: Windows Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-powershell-iwr","section","","Phase 2: Windows Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-powershell-webclient","section","","Phase 2: Windows Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-smb-download","section","","Phase 2: Windows Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-bitsadmin-download","section","","Phase 2: Windows Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-wget-download","section","","Phase 3: Linux Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-curl-download","section","","Phase 3: Linux Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-bash-dev-tcp","section","","Phase 3: Linux Target Downloads (Tools IN)"
"file-transfer-cheatsheet","ft-powershell-upload","section","","Phase 4: Windows Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-smb-upload","section","","Phase 4: Windows Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-nc-send","section","","Phase 4: Windows Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-powershell-tcp-send","section","","Phase 4: Windows Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-curl-upload","section","","Phase 5: Linux Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-nc-send","section","","Phase 5: Linux Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-scp-download","section","","Phase 5: Linux Exfiltration (Data OUT)"
"file-transfer-cheatsheet","ft-nc-receive","section","","Phase 6: Netcat & Raw TCP Transfers"
"file-transfer-cheatsheet","ft-nc-send","section","","Phase 6: Netcat & Raw TCP Transfers"
"file-transfer-cheatsheet","ft-powershell-tcp-send","section","","Phase 6: Netcat & Raw TCP Transfers"
"file-transfer-cheatsheet","ft-base64-encode","section","","Phase 7: Alternative Methods (Restricted Environments)"
"file-transfer-cheatsheet","ft-bash-dev-tcp","section","","Phase 7: Alternative Methods (Restricted Environments)"
"file-transfer-cheatsheet","ft-bitsadmin-download","section","","Phase 7: Alternative Methods (Restricted Environments)"
"file-transfer-cheatsheet","ft-scp-upload","section","","Phase 7: Alternative Methods (Restricted Environments)"
"file-transfer-cheatsheet","ft-scp-download","section","","Phase 7: Alternative Methods (Restricted Environments)"
"ssh-tunneling-linux","socat-port-forward","scenario","Scenario 1: Socat Port Forward - PostgreSQL Access Through DMZ Host",""
"ssh-tunneling-linux","psql-connect","scenario","Scenario 1: Socat Port Forward - PostgreSQL Access Through DMZ Host",""
"ssh-tunneling-linux","ssh-local-port-forward","scenario","Scenario 2: SSH Local Port Forward - Multi-Hop SMB Access",""
"ssh-tunneling-linux","smbclient-list-shares","scenario","Scenario 2: SSH Local Port Forward - Multi-Hop SMB Access",""
"ssh-tunneling-linux","ssh-dynamic-port-forward","scenario","Scenario 3: SSH Dynamic Port Forward - SOCKS Proxy Multi-Target Enumeration",""
